,0
per anak,1
anak terus,1
terus daerah,1
daerah utama,1
utama luar,1
luar jawa,1
jawa harus,1
harus nombok,1
nombok lagi,1
turut mbg,1
mbg jelas,1
jelas enggak,1
enggak beri,2
beri manfaat,1
manfaat apaapa,1
apaapa 1,1
1 bukan,1
bukan solusi,1
solusi utama,1
utama selesai,1
selesai masalah,2
masalah stunting,1
stunting 2,1
2 orang,1
orang yang,4
yang libat,1
libat dalam,1
dalam proyek,1
proyek ini,1
ini hanya,1
hanya ituitu,1
ituitu aja,1
aja contoh,1
contoh di,1
di daerah,4
daerah itu,1
itu tender,1
tender menang,1
menang orang,1
orang pimpin,1
pimpin lokal,1
lokal 3,1
3 praktik,1
praktik mbg,1
ini enggak,3
enggak efisien,1
efisien dari,1
dari segala,1
segala sisi,1
mbg memang,1
memang bukan,1
bukan sumbang,1
sumbang itu,1
itu uang,1
uang negara,1
negara uang,1
uang rakyat,1
ini nama,1
nama timpang,1
timpang tindih,1
tindih birokrasi,1
birokrasi yang,1
yang numpang,1
numpang eks,1
eks yang,1
yang punya,2
punya peran,1
peran tindih,1
tindih harus,1
harus bp,1
bp pom,1
pom paling,1
paling depan,1
depan awal,1
awal makanbergizigratis,1
klo elu,1
elu tau,1
tau gizi,1
gizi yang,3
yang elu,1
elu kasih,1
kasih ke,2
ke anak,1
anak lu,2
lu justru,1
justru lebih,1
lebih baik,1
baik drpd,1
drpd program,1
perintah ya,1
ya anak,1
lu gosah,1
gosah program,1
mbg guoblok,1
guoblok susah,1
susah amat,1
amat masih,1
masih banyak,2
banyak anak,2
anak yang,4
yang blom,1
blom sentuh,1
sentuh mb,1
mb dan,1
dan itu,1
itu nyata,1
nyata enggak,1
enggak jauh,1
jauh malah,1
malah masih,1
di pulau,1
pulau jawa,1
jawa dasar,1
dasar tholol,1
tholol luh,1
makanya udah,1
udah bener,2
bener makansianggratis,1
makansianggratis malah,1
malah ganti,1
ganti jadi,1
jadi makanbergizigratis,1
makanbergizigratis komposisi,1
komposisi gizi,1
gizi di,1
di msg,1
msg itu,1
itu bisa,1
bisa debat,1
debat sedang,1
sedang mbg,1
mbg pasti,1
pasti uji,1
uji ke,1
ke suatu,1
suatu standar,1
standar gizi,1
respect dengan,1
dengan potong,1
potong belanja,1
belanja perintah,1
perintah akhir,1
akhir bisa,1
bisa surplus,1
surplus telah,1
telah 14,1
14 tahun,1
tahun sementara,1
sementara itu,1
itu ada,2
ada suatu,1
suatu negara,1
negara yang,1
yang gendut,1
gendut kabinet,1
kabinet cara,1
cara ugal2an,1
ugal2an saat,1
saat ekonomi,1
ekonomi lesu,1
lesu dan,1
dan sok2an,1
sok2an kasih,1
kasih makan,1
makan gizi,3
gizi gratis,1
enggak tau,1
tau asal,1
asal usul,1
usul 300t,1
300t tapi,1
tapi mau,1
mau anak,1
anak harvey,1
harvey yang,1
masih underage,1
underage di,1
di bully,1
bully dan,1
dan sucide,1
sucide harus,1
harus lu,1
lu komentar,1
komentar ke,1
ke sono,1
sono bukan,1
bukan sini,1
sini ini,1
ini dana,1
dana mbg,4
mbg bahkan,1
bahkan mau,1
mau ambil,1
ambil dari,1
dari dana,1
zakat dan,1
dan biaya,1
biaya infrastruktur,1
infrastruktur juga,1
juga pangkas,1
pangkas demi,1
demi mbg,2
mbg kentot,1
kentot ini,1
ini makanya,1
makanya rakyat,1
rakyat wajib,1
wajib kritis,1
kan konsep,2
konsep awal,1
awal makansianggratis,1
yang gizi,1
gizi bukan,1
bukan makan,1
makan kenyang,1
kenyang gratis,1
kontol mending,1
mending gaji,1
gaji lu,1
lu lu,1
lu pada,1
pada yang,1
yang buat,1
buat mbg,4
mbg daripada,1
daripada masyarakat,1
masyarakat patungan,1
yth segera,1
segera panggil,1
panggil deddy,1
corbuzier ini,1
ini karena,1
karena telah,1
telah maki,1
maki anakanak,2
anakanak indonesia,1
indonesia yang,1
yang protes,2
protes hadap,2
hadap menu,1
makanbergizigratis sementara,1
sementara yang,1
punya program,1
program saja,2
saja enggak,1
enggak berani,1
berani maki,1
sy pribadi,1
pribadi enggak,1
enggak prnh,1
prnh sekalipun,1
sekalipun mengaggap,1
mengaggap mbg,1
mbg bukan,1
bukan program,1
program bagus,1
bagus bhkn,1
bhkn yakin,1
yakin bgt,1
bgt program,1
ini sangat,1
sangat bisa,1
bisa dukung,1
dukung wujud,1
wujud generasi,1
generasi emas,1
emas tp,1
tp jika,1
jika faktor,1
faktor biaya,1
biaya jd,1
jd kendala,1
kendala paling,1
paling utama,1
utama yang,1
yang justru,1
justru buat,1
mbg mnjadi,1
mnjadi tidak,1
sesuai tuju,1
tuju awal,1
awal knapa,1
knapa tidak,1
tidak henti,1
henti sj,1
sj pak,1
pak dan,1
mbg sama,2
sama dengan,1
dengan negara,1
negara dengan,1
dengan rakyat,1
rakyat lapar,1
nenek moyang,1
moyang sudah,1
sudah ingat,1
ingat tidak,1
tidak ada,5
ada makansianggratis,5
coba ngomongnya,1
ngomongnya mbg,1
mbg perlu,1
perlu kaji,2
kaji ulang,2
ulang baru,1
baru imbang,1
imbang antara,1
antara badan,1
badan dan,1
dan omong,1
omong nya,1
gaboleh banyak,1
banyak complain,1
complain kait,1
kait menu,1
menu mbg,2
yang nilai,1
nilai kurang,1
gizi dan,1
dan nyuruh,1
nyuruh orang,1
orang syukur,1
syukur krn,1
banding tahun,1
tahun tahun,1
tahun belum,1
belum gapernah,1
gapernah ada,1
ada resolusi,1
resolusi mbg,1
mbg adalah,1
adalah suatu,1
suatu logical,1
logical fallacy,2
benar om,1
om deddy,1
deddy ini,1
ini komentar,1
komentar mbg,1
yang komplain,2
komplain karena,1
karena lidah,1
lidah anak,1
anak tidak,1
tidak biasa,1
biasa atau,1
atau karena,1
karena keracunanbasi,1
keracunanbasi harus,1
harus masyarakat,1
masyarakat bisa,1
bisa beda,1
beda kalau,1
kalau anak,2
yang belum,1
belum biasa,1
biasa ya,2
ya harus,1
harus harus,1
harus paksa,1
paksa biasa,1
ya kali,1
kali makan,1
makan mie,1
mie indomie,1
indomie terus,1
terus kalau,1
kalau basi,1
basi ya,1
ya itu,1
itu sah,1
sah aja,1
bener bener,1
bener ngelawak,1
ngelawak di,1
di podhub,1
podhub malah,1
malah ikut,1
ikut angkat,1
angkat suara,1
suara soal,1
soal mbg,3
mbg hdeh,1
masih tentang,1
tentang program,1
mbg makan,1
makan syukur,1
syukur gratis,1
gratis kah,1
kah ini,1
nama juga,1
juga anakanak,1
anakanak mau,1
mau komen,1
komen enggak,1
enggak enak,5
enak atau,1
atau enak,1
enak ya,1
ya gpp,1
gpp jd,1
jd masuk,1
masuk saja,1
saja utk,1
utk baik,1
baik kok,1
kok ada,1
ada yang,4
yang tega,1
tega ngomongin,1
ngomongin komennya,1
komennya anak,1
anak 2x,1
2x soal,1
yang bandingin,1
bandingin anak,2
anak makan,1
makan nasi,1
nasi obox,1
obox hadeuuuh,1
hadeuuuh jgn,1
jgn bungkam,1
bungkam lah,1
lah anakanak,1
anakanak itu,1
coba itu,1
itu anak,2
anak apa,1
apa cucu,1
cucu suruh,1
suruh makan,1
makan makan,1
makan menu,2
menu program,1
yang kanan,1
kanan doyan,1
doyan kaga,1
kaga orang,1
orang anak,1
anak sekolah,1
sekolah di,1
di tanya,1
tanya enak,1
enak enggak,1
enggak jawab,1
jawab kurang,1
kurang enak,1
enak kan,2
kan msh,1
msh halus,1
halus bahasa,1
bahasa babi,1
babi buta,1
baru inget,1
inget sama,1
sama si,1
si cep,1
cep arnold,1
arnold dia,1
dia kan,1
kan pas,1
pas itu,1
itu bain,1
bain perintah,1
perintah yak,1
yak apa,1
apa nih,1
nih tanggap,1
tanggap dia,1
dia soal,1
enak ayam,1
ayam keras,1
keras hambar,1
hambar sampe,1
sampe bikin,1
bikin racun,1
racun kok,1
kok diem,1
diem saja,1
saja sekarang,1
sekarang padahal,1
padahal ini,1
ini masih,2
masih bidang,1
bidang dia,1
