,id,edit_history_tweet_ids,created_at,text,author_id,text_cleaned,text_cleaned_stemmed
14,1880653974803779780,1880653974803779780,2025-01-18T16:30:23.000Z,Alifurrahman Kritik Penggunaan Dana Zakat untuk Program Makan Siang Gratis: Tidak Sesuai Aturan dan Tidak Efisien https://t.co/eQeE2ZVpdv,163126674,alifurrahman kritik penggunaan dana zakat untuk program makansianggratis tidak sesuai aturan dan tidak efisien,alifurrahman kritik guna dana zakat untuk program makansianggratis tidak sesuai atur dan tidak efisien
15,1880653880125460542,1880653880125460542,2025-01-18T16:30:00.000Z,"Jadi Penunjang Program Makan Bergizi Gratis, Prabowo Minta Sanitasi di Sekolah Harus Bagus
https://t.co/V2NZwaZcaz",4755284968,jadi penunjang program makanbergizigratis prabowo minta sanitasi di sekolah harus bagus,jadi tunjang program makanbergizigratis prabowo minta sanitasi di sekolah harus bagus
16,1880653825683722337,1880653825683722337,2025-01-18T16:29:47.000Z,"@soojain @soo__cats Salam kenal nara, menjawab pertanyaan kamu kayanya kita bisa nih dapet makan siang gratis tapi nanti pajak naik 20 % ya, abis itu kehidupan kita terjungkir balik rasanya. Hardskill kita sama, lemah di graphic, gapapa nar kita bisa kuasain skill lainnya",1207920236,  salam kenal nara menjawab pertanyaan kamu kayanya kita bisa nih dapet makansianggratis tapi nanti pajak naik 20  ya abis itu kehidupan kita terjungkir balik rasanya hardskill kita sama lemah di graphic gapapa nar kita bisa kuasain skill lainnya,salam kenal nara jawab tanya kamu kaya kita bisa nih dapet makansianggratis tapi nanti pajak naik 20 ya abis itu hidup kita jungkir balik rasa hardskill kita sama lemah di graphic gapapa nar kita bisa kuasain skill lain
17,1880653809271386380,1880653809271386380,2025-01-18T16:29:43.000Z,"@tanyarlfes MBG ini program pemerintah biar generasi tetep bodoh.. biar gampang dikibuli bansos, dgn membunuh anak2 sekolah melalui keracunan makanan",1104029924, mbg ini program pemerintah biar generasi tetep bodoh biar gampang dikibuli bansos dengan membunuh anak2 sekolah melalui keracunan makanan,mbg ini program perintah biar generasi tetep bodoh biar gampang kibul bansos dengan bunuh anak2 sekolah lalu racun makan
18,1880653741281759726,1880653741281759726,2025-01-18T16:29:27.000Z,"Malming Garing

YouTuber Letkol Deddy Corbuzier jadi sorotan netizens usai respons siswa SD ttg menu Makan Bergizi Gratis (MBG) yg dirasa kurang nikmat

Botak Tolol anggap sesat pikir krn membandingkan MBG dgn makanan dirumah yg diberikan ke Azka anaknya https://t.co/9oY3lMXtDy https://t.co/8YpVLawRC3",1355098085844606981,malming garing youtuber letkol deddy corbuzier jadi sorotan netizens usai respons siswa sd ttg menu makanbergizigratis mbg yang dirasa kurang nikmat botak tolol anggap sesat pikir krn membandingkan mbg dengan makanan dirumah yang diberikan ke azka anaknya,malming garing youtuber letkol deddy corbuzier jadi sorot netizens usai respons siswa sd ttg menu makanbergizigratis mbg yang rasa kurang nikmat botak tolol anggap sesat pikir krn banding mbg dengan makan rumah yang beri ke azka anak
19,1880653490483319085,1880653490483319085,2025-01-18T16:28:27.000Z,"Makan Bergizi Gratis nih 
https://t.co/AxZ7UdXd8v",1248458933892575233,makanbergizigratis nih,makanbergizigratis nih
20,1880653425530314814,1880653425530314814,2025-01-18T16:28:12.000Z,@soojain sebenernya makan siang tuh pasti ada di kantor. bedanya ada yang gratis sama bayar. katanya di adorbs makan siang gratis kaya program pemerintah yang itu 🤭 syarat dapetnya harus tahan sama kelakuan directors kalo lagi maksi,729091719359254528, sebenarnya makan siang tuh pasti ada di kantor bedanya ada yang gratis sama bayar katanya di adorbs makansianggratis kaya program pemerintah yang itu  syarat dapetnya harus tahan sama kelakuan directors kalau lagi maksi,benar makan siang tuh pasti ada di kantor beda ada yang gratis sama bayar kata di adorbs makansianggratis kaya program perintah yang itu syarat dapetnya harus tahan sama laku directors kalau lagi maksi
21,1880653321146626369,1880653321146626369,2025-01-18T16:27:47.000Z,@eleanorr234 Harusnya semua tunjangan anggota @DPR_RI di hapuskan dan di alokasikan ke makan bergizi gratis untuk anak sehat...,1840454452278611968, harusnya semua tunjangan anggota  di hapuskan dan di alokasikan ke makanbergizigratis untuk anak sehat,harus semua tunjang anggota di hapus dan di alokasi ke makanbergizigratis untuk anak sehat
22,1880653075796693164,1880653075796693164,2025-01-18T16:26:48.000Z,"Viral! Makan Siang Gratis Isinya Lengkuas, Anak Sekolah Ini Ngadu ke Prabowo https://t.co/15gKAqeaSZ",887743587579944960,viral makansianggratis isinya lengkuas anak sekolah ini ngadu ke prabowo,viral makansianggratis isi lengkuas anak sekolah ini ngadu ke prabowo
23,1880653023455916436,1880653023455916436,2025-01-18T16:26:36.000Z,@TsamaraDKI Ditunggu seppukunya ya kalian semua yg endorse MBG kalau sampai ada korban jiwa keracunan pakan babi gratis itu ges,1810235488005140480, ditunggu seppukunya ya kalian semua yang endorse mbg kalau sampai ada korban jiwa keracunan pakan babi gratis itu ges,tunggu seppukunya ya kalian semua yang endorse mbg kalau sampai ada korban jiwa racun pakan babi gratis itu ges
